iter	Passed	Remaining
411	3972	5669
412	3980	5658
413	3990	5648
414	4001	5639
415	4015	5636
416	4027	5630
417	4041	5626
418	4059	5629
419	4074	5626
420	4094	5631
421	4108	5627
422	4123	5624
423	4136	5619
424	4150	5614
425	4165	5612
426	4176	5604
427	4185	5594
428	4194	5582
429	4203	5571
430	4211	5560
431	4221	5551
432	4230	5539
433	4240	5529
434	4248	5517
435	4257	5507
436	4265	5495
437	4276	5487
438	4286	5478
439	4296	5468
440	4307	5459
441	4315	5448
442	4326	5439
443	4335	5429
444	4344	5418
445	4354	5409
446	4364	5398
447	4374	5389
448	4383	5379
449	4392	5368
450	4402	5359
451	4412	5349
452	4421	5339
453	4430	5328
454	4439	5317
455	4449	5307
456	4457	5296
457	4467	5286
458	4475	5275
459	4486	5266
460	4494	5254
461	4504	5246
462	4513	5235
463	4522	5224
464	4532	5214
465	4541	5203
466	4551	5194
467	4559	5182
468	4572	5177
469	4584	5169
470	4592	5157
471	4604	5151
472	4616	5143
473	4624	5132
474	4635	5122
475	4643	5111
476	4652	5100
477	4662	5091
478	4673	5082
479	4683	5073
480	4692	5063
481	4702	5053
482	4712	5044
483	4720	5032
484	4730	5023
485	4738	5011
486	4748	5001
487	4756	4990
488	4766	4980
489	4774	4969
490	4784	4960
491	4795	4951
492	4803	4940
493	4815	4932
494	4825	4922
495	4834	4912
496	4843	4902
497	4852	4891
498	4863	4883
499	4873	4873
500	4881	4862
501	4895	4856
502	4905	4847
503	4916	4838
504	4926	4828
505	4935	4818
506	4944	4808
507	4953	4797
508	4964	4788
509	4973	4778
510	4982	4767
511	4993	4759
512	5002	4748
513	5013	4740
514	5023	4730
515	5032	4720
516	5042	4710
517	5050	4699
518	5061	4690
519	5070	4680
520	5082	4672
521	5094	4665
522	5104	4655
523	5113	4645
524	5127	4639
525	5138	4630
526	5146	4619
527	5158	4611
528	5168	4601
529	5178	4592
530	5191	4585
531	5200	4575
532	5209	4564
533	5219	4554
534	5229	4545
535	5239	4535
536	5247	4524
537	5258	4515
538	5267	4505
539	5276	4494
540	5286	4485
541	5296	4475
542	5308	4467
543	5319	4458
544	5329	4449
545	5339	4439
546	5348	4429
547	5358	4420
548	5369	4411
549	5382	4403
550	5391	4393
551	5402	4385
552	5414	4376
553	5425	4367
554	5434	4357
555	5443	4346
556	5453	4337
557	5462	4326
558	5471	4316
559	5481	4307
560	5490	4296
561	5499	4286
562	5507	4275
563	5518	4266
564	5526	4255
565	5537	4245
566	5547	4236
567	5555	4225
568	5566	4216
569	5575	4205
570	5586	4197
571	5596	4187
572	5606	4178
573	5617	4169
574	5626	4159
575	5638	4150
576	5649	4141
577	5658	4131
578	5667	4121
579	5677	4111
580	5685	4100
581	5696	4091
582	5706	4081
583	5718	4073
584	5728	4063
585	5737	4053
586	5746	4043
587	5754	4032
588	5764	4022
589	5772	4011
590	5781	4001
591	5790	3990
592	5799	3980
593	5809	3970
594	5818	3960
595	5828	3951
596	5837	3940
597	5848	3931
598	5858	3921
599	5868	3912
600	5878	3902
601	5886	3891
602	5899	3883
603	5910	3875
604	5918	3864
605	5928	3854
606	5938	3844
607	5946	3834
608	5955	3823
609	5965	3813
610	5975	3804
611	5983	3793
612	5993	3783
613	6001	3772
614	6011	3763
615	6020	3752
616	6028	3742
617	6038	3732
618	6046	3721
619	6056	3712
620	6064	3701
621	6075	3692
622	6083	3681
623	6094	3672
624	6103	3662
625	6111	3651
626	6126	3644
627	6139	3636
628	6148	3626
629	6160	3617
630	6171	3609
631	6179	3598
632	6189	3588
633	6197	3577
634	6207	3568
635	6218	3559
636	6227	3548
637	6237	3539
638	6246	3528
639	6255	3518
640	6264	3508
641	6274	3499
642	6285	3489
643	6294	3479
644	6303	3469
645	6311	3458
646	6321	3448
647	6330	3438
648	6340	3429
649	6351	3420
650	6361	3410
651	6370	3400
652	6379	3390
653	6389	3380
654	6399	3370
655	6408	3360
656	6419	3351
657	6429	3341
658	6438	3331
659	6448	3322
660	6456	3311
661	6466	3301
662	6475	3291
663	6485	3281
664	6494	3271
665	6503	3261
666	6512	3251
667	6521	3241
668	6532	3232
669	6541	3221
670	6551	3212
671	6559	3201
672	6568	3191
673	6578	3181
674	6586	3171
675	6597	3161
676	6605	3151
677	6616	3142
678	6625	3132
679	6634	3122
680	6645	3112
681	6659	3105
682	6670	3095
683	6682	3087
684	6694	3078
685	6703	3068
686	6713	3058
687	6723	3049
688	6732	3039
689	6743	3029
690	6753	3019
691	6762	3010
692	6772	3000
693	6780	2989
694	6789	2979
695	6799	2969
696	6808	2959
697	6817	2949
698	6826	2939
699	6834	2929
700	6845	2919
701	6856	2910
702	6866	2900
703	6876	2891
704	6885	2881
705	6895	2871
706	6906	2862
707	6914	2851
708	6928	2843
709	6940	2834
710	6949	2824
711	6958	2814
712	6967	2804
713	6976	2794
714	6985	2784
715	6993	2774
716	7003	2764
717	7012	2754
718	7022	2744
719	7030	2734
720	7040	2724
721	7048	2713
722	7057	2704
723	7066	2693
724	7076	2684
725	7085	2674
726	7094	2663
727	7104	2654
728	7116	2645
729	7125	2635
730	7136	2626
731	7145	2616
732	7156	2606
733	7168	2597
734	7177	2587
735	7188	2578
736	7200	2569
737	7209	2559
738	7221	2550
739	7231	2540
740	7240	2530
741	7250	2521
742	7259	2511
743	7270	2501
744	7279	2491
745	7288	2481
746	7299	2472
747	7307	2462
748	7319	2452
749	7327	2442
750	7338	2433
751	7349	2423
752	7358	2413
753	7369	2404
754	7381	2395
755	7391	2385
756	7403	2376
757	7411	2366
758	7421	2356
759	7432	2346
760	7440	2336
761	7452	2327
762	7464	2318
763	7474	2308
764	7484	2299
765	7493	2289
766	7501	2278
767	7511	2269
768	7519	2258
769	7531	2249
770	7541	2239
771	7550	2229
772	7559	2220
773	7568	2209
774	7578	2200
775	7587	2190
776	7596	2180
777	7606	2170
778	7615	2160
779	7626	2151
780	7634	2140
781	7644	2130
782	7653	2121
783	7662	2111
784	7672	2101
785	7683	2091
786	7696	2082
787	7707	2073
788	7716	2063
789	7728	2054
790	7739	2044
791	7748	2034
792	7758	2025
793	7767	2015
794	7777	2005
795	7787	1995
796	7796	1985
797	7806	1976
798	7814	1965
799	7824	1956
800	7833	1946
801	7843	1936
802	7852	1926
803	7862	1916
804	7872	1907
805	7880	1896
806	7891	1887
807	7902	1877
808	7910	1867
809	7920	1857
810	7929	1847
811	7939	1838
812	7948	1828
813	7957	1818
814	7966	1808
815	7977	1798
816	7988	1789
817	7998	1779
818	8006	1769
819	8016	1759
820	8025	1749
821	8036	1740
822	8044	1730
823	8053	1720
824	8063	1710
825	8071	1700
826	8081	1690
827	8090	1680
828	8100	1670
829	8108	1660
830	8120	1651
831	8130	1641
832	8139	1631
833	8149	1621
834	8157	1611
835	8166	1602
836	8176	1592
837	8185	1582
838	8196	1572
839	8209	1563
840	8220	1554
841	8231	1544
842	8241	1534
843	8253	1525
844	8264	1515
845	8273	1506
846	8284	1496
847	8296	1487
848	8306	1477
849	8316	1467
850	8326	1457
851	8335	1448
852	8345	1438
853	8355	1428
854	8365	1418
855	8376	1409
856	8386	1399
857	8398	1390
858	8410	1380
859	8419	1370
860	8430	1361
861	8439	1351
862	8450	1341
863	8460	1331
864	8470	1321
865	8479	1312
866	8489	1302
867	8502	1292
868	8513	1283
869	8524	1273
870	8534	1263
871	8545	1254
872	8555	1244
873	8564	1234
874	8574	1224
875	8582	1214
876	8592	1205
877	8601	1195
878	8610	1185
879	8620	1175
880	8629	1165
881	8640	1155
882	8648	1146
883	8674	1138
884	8683	1128
885	8691	1118
886	8700	1108
887	8709	1098
888	8718	1088
889	8732	1079
890	8743	1069
891	8755	1060
892	8767	1050
893	8775	1040
894	8786	1030
895	8795	1020
896	8805	1011
897	8814	1001
898	8823	991
899	8833	981
900	8842	971
901	8852	961
902	8861	951
903	8870	942
904	8880	932
905	8890	922
906	8901	912
907	8914	903
908	8924	893
909	8933	883
910	8942	873
911	8952	863
912	8961	853
913	8970	844
914	8979	834
915	8988	824
916	8998	814
917	9006	804
918	9017	794
919	9030	785
920	9038	775
921	9049	765
922	9058	755
923	9067	745
924	9076	735
925	9085	726
926	9095	716
927	9104	706
928	9114	696
929	9123	686
930	9151	678
931	9160	668
932	9168	658
933	9178	648
934	9186	638
935	9197	628
936	9205	618
937	9215	609
938	9224	599
939	9232	589
940	9243	579
941	9256	569
942	9270	560
943	9282	550
944	9292	540
945	9302	530
946	9312	521
947	9320	511
948	9331	501
949	9341	491
950	9349	481
951	9361	471
952	9369	462
953	9379	452
954	9388	442
955	9397	432
956	9406	422
957	9414	412
958	9425	402
959	9437	393
960	9446	383
961	9456	373
962	9465	363
963	9476	353
964	9486	344
965	9495	334
966	9504	324
967	9512	314
968	9523	304
969	9532	294
970	9543	285
971	9555	275
972	9565	265
973	9576	255
974	9585	245
975	9594	235
976	9602	226
977	9611	216
978	9621	206
979	9629	196
980	9640	186
981	9649	176
982	9658	167
983	9667	157
984	9676	147
985	9685	137
986	9694	127
987	9703	117
988	9711	108
989	9721	98
990	9731	88
991	9746	78
992	9770	68
993	9816	59
994	9833	49
995	9842	39
996	9852	29
997	9862	19
998	9872	9
999	9883	0
