iter	MAE
0	20.92345482
1	20.85548893
2	20.72670444
3	20.57587709
4	20.49378784
5	20.36071891
6	20.28979305
7	20.20737244
8	20.09047683
9	20.00744808
10	19.91018384
11	19.77789931
12	19.68057475
13	19.58800253
14	19.46678862
15	19.34959668
16	19.22173598
17	19.13616477
18	19.0645306
19	18.9411467
20	18.89169125
21	18.79375611
22	18.65321213
23	18.51601411
24	18.4612193
25	18.39663219
26	18.30651511
27	18.22343101
28	18.11877571
29	18.05177633
30	17.9544362
31	17.87659202
32	17.82322395
33	17.7904932
34	17.74513896
35	17.64224985
36	17.59876454
37	17.52405854
38	17.37599802
39	17.29519218
40	17.21658048
41	17.15264147
42	17.11757196
43	17.04920607
44	16.88758063
45	16.84033712
46	16.79381239
47	16.74144823
48	16.69079949
49	16.62879017
50	16.57764672
51	16.53560644
52	16.49371665
53	16.36721341
54	16.30245412
55	16.26988103
56	16.24616621
57	16.16699386
58	16.08529313
59	15.99280063
60	15.92811553
61	15.84936543
62	15.80628407
63	15.76399192
64	15.69780028
65	15.64655782
66	15.58187143
67	15.49258846
68	15.45749187
69	15.40057321
70	15.35853092
71	15.3072395
72	15.25107857
73	15.21335447
74	15.15361392
75	15.11950207
76	15.04401299
77	15.01006391
78	14.94726572
79	14.92246293
80	14.87812564
81	14.84454838
82	14.80234666
83	14.73727833
84	14.6724518
85	14.6137416
86	14.57982523
87	14.53891361
88	14.50397625
89	14.46274953
90	14.39936143
91	14.36492727
92	14.32029418
93	14.28361328
94	14.22168687
95	14.16799549
96	14.09931759
97	14.038119
98	13.99830239
99	13.93162253
100	13.91594126
101	13.88003614
102	13.84724501
103	13.83639375
104	13.79835036
105	13.76751401
106	13.70136035
107	13.67169151
108	13.63771995
109	13.61947372
110	13.57011509
111	13.5394034
112	13.51162509
113	13.4659208
114	13.4270233
115	13.40637669
116	13.35133542
117	13.30612864
118	13.27154713
119	13.2594581
120	13.22606546
121	13.17080118
122	13.14457397
123	13.13001765
124	13.09247669
125	13.03096734
126	13.00918863
127	12.98064449
128	12.94518413
129	12.89798986
130	12.86831312
131	12.83934145
132	12.79553
133	12.77499483
134	12.75010456
135	12.70380639
136	12.64931197
137	12.60277813
138	12.55852015
139	12.52313491
140	12.47336023
141	12.42416818
142	12.36263114
143	12.33128851
144	12.29203824
145	12.27943658
146	12.26058328
147	12.22263432
148	12.17635226
149	12.15888971
150	12.13303846
151	12.0515054
152	12.03241674
153	12.00620033
154	11.96993236
155	11.93190027
156	11.89480219
157	11.85743058
158	11.83322985
159	11.81007804
160	11.78675166
161	11.76700523
162	11.70778481
163	11.68011919
164	11.66137434
165	11.61198425
166	11.59017441
167	11.56385067
168	11.50726209
169	11.48371286
170	11.45152037
171	11.41333456
172	11.34807567
173	11.30274501
174	11.26457983
175	11.17509278
176	11.15726298
177	11.13033227
178	11.0802431
179	11.05862463
180	11.02186486
181	10.9675081
182	10.93056254
183	10.90898619
184	10.89516022
185	10.86278818
186	10.8517785
187	10.83215318
188	10.82612919
189	10.79738549
190	10.78017387
191	10.75136641
192	10.72239655
193	10.71014401
194	10.69213928
195	10.65108619
196	10.62735829
197	10.59831258
198	10.54717782
199	10.51921627
200	10.5059464
201	10.48587858
202	10.46145073
203	10.43759899
204	10.42019206
205	10.39130877
206	10.38637853
207	10.35526868
208	10.33593398
209	10.3188134
210	10.27609799
211	10.24330997
212	10.19996662
213	10.18433018
214	10.16581742
215	10.15763856
216	10.13178676
217	10.09775578
218	10.04724651
219	10.02495473
220	10.00319045
221	9.983319038
222	9.968876647
223	9.96077545
224	9.927365523
225	9.864732647
226	9.849406087
227	9.833144978
228	9.794162604
229	9.747371143
230	9.7187558
231	9.674056491
232	9.651552383
233	9.630513445
234	9.618304651
235	9.59780078
236	9.534136721
237	9.523100011
238	9.463781643
239	9.440895543
240	9.404950573
241	9.351471348
242	9.32224715
243	9.294467768
244	9.285540733
245	9.262802303
246	9.244544835
247	9.205050868
248	9.139900436
249	9.097268383
250	9.067415752
251	9.04611129
252	9.030832776
253	8.995027642
254	8.978725853
